HIP,_RA_icrs,_DE_icrs,Vmag,Plx,ecl_lat
115738,351.73314692,1.25560806,4.95,20.12,4.432506565004198
81724,250.39326259,-17.74216686,4.91,8.34,4.433551303128498
17531,56.30206043,24.46727761,4.3,8.75,4.518189139219056
117245,356.59798525,3.48681088,4.95,4.29,4.551843901993486
80763,247.35192046,-26.43200249,1.06,5.4,-4.569943895879574
57380,176.46482927,6.52937639,4.04,10.42,4.586321245934427
100345,305.25281519,-14.78136716,3.05,9.48,4.588672840395243
25945,83.05312933,18.59423429,4.32,1.7,-4.685925913428754
7884,25.35789264,5.48761322,4.45,8.86,-4.694129752722691
104459,317.39853222,-11.37169305,4.5,19.93,4.764752800738388
115115,349.74031934,-9.61074996,4.99,13.1,-4.779621828951084
107188,325.6646132,-18.86632305,4.72,11.22,-4.839862943867301
49583,151.83313456,16.76266443,3.48,1.53,4.8657102739870135
77840,238.4029962,-25.32714192,4.59,7.52,-4.947558653488501
106723,324.27012962,-19.46601155,4.51,4.92,-4.9760138698163345
88839,272.02074765,-28.45709305,4.55,9.38,-5.030310664206094
78650,240.83592905,-25.86524023,4.96,15.39,-5.03150880808002
60172,185.08742032,3.31257412,4.97,11.43,5.0617408454096795
44066,134.62175702,11.85770096,4.26,18.79,-5.08044025535194
93864,286.7350369,-27.67042304,3.32,27.09,-5.088854633023756
80894,247.78486581,-16.61273261,4.29,15.53,5.1963996085268445
36962,113.98060996,26.89574074,4.06,13.57,5.216006016964731
20877,67.10987536,16.35967226,4.96,16.78,-5.347309746952591
7097,22.87087261,15.34582301,3.62,11.09,5.377663573287244
25428,81.57297249,28.60745001,1.65,24.89,5.385105513853831
98066,298.95982398,-26.29950635,4.7,42.03,-5.421927941897601
98353,299.73832815,-26.19576726,4.84,9.58,-5.456941843509592
21421,68.9801611,16.50930139,0.87,50.09,-5.467327838139967
78265,239.71297035,-26.11410529,2.89,7.1,-5.47536866864825
77635,237.74477002,-25.75129544,4.63,6.25,-5.487592123677682
12828,41.23559307,10.1141459,4.27,38.71,-5.566677879294815
21029,67.64013694,16.19401446,4.78,22.54,-5.589244611978832
35350,109.52324476,16.54038314,3.58,34.59,-5.635210139456593
112716,342.39792615,-13.59263187,4.05,8.58,-5.664522566130085
56127,172.57872236,-3.00350053,4.77,5.4,-5.7035345676703955
154,0.490079,-6.01407212,4.37,7.86,-5.710995526714965
20205,64.94834891,15.62764232,3.65,21.17,-5.732261030124204
20885,67.14373289,15.96218073,3.84,20.66,-5.745027717367053
36046,111.43165048,27.7980804,3.78,25.9,5.7583112223445205
443,1.33392048,-5.7076182,4.61,25.38,-5.765631290097754
38538,118.37422613,26.76578282,4.97,12.82,5.779098203814134
20250,65.0883987,27.35075361,4.97,9.53,5.8017843282334045
20894,67.16558676,15.87088266,3.4,21.89,-5.83848140689776
11484,37.03976038,8.46005355,4.3,18.53,-5.855594737329299
16369,52.71824299,12.93667809,4.14,9.05,-5.9156452373026305
106786,324.43795564,-7.85420152,4.68,18.26,5.957702777517242
20713,66.58642154,15.61826526,4.48,20.86,-6.00041669826533
78207,239.54737034,-14.27935849,4.95,6.36,6.085488270155698
95176,290.43176295,-15.95501757,4.52,1.95,6.095924884444687
29696,93.84453777,29.49807609,4.32,19.31,6.103676918025503
55642,170.9810513,10.52950862,4.0,41.26,6.105322902409226
57328,176.32099986,8.25811933,4.84,27.29,6.114819036857554
81266,248.97064054,-28.21601625,2.82,7.59,-6.1204036870242025
88567,271.25510506,-29.5800874,4.66,1.57,-6.145579106977947
58590,180.21829228,6.61432243,4.65,9.16,6.153126327071853
21683,69.81875764,15.91797673,4.67,20.51,-6.166052308089236
4147,13.2520596,-1.14426019,4.78,6.28,-6.285820844100333
65639,201.86318324,-15.97357823,4.76,12.63,-6.319708890731357
98162,299.23679661,-27.16989884,4.54,2.7,-6.323806920673171
118268,359.82787346,6.86332112,4.03,30.78,6.362974025449107
67494,207.46784793,-18.13416784,4.96,13.48,-6.384390193802284
89931,275.24850731,-29.82810326,2.72,10.67,-6.472233358238038
