time,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
02-02 12:00,-13.638841816666666,-13.710745699999999,-13.668995683333332,-13.63173495,-13.607357799999999,-13.706867816666666,-13.667119433333333,-13.641710100000001,-13.620381583333334,-13.706757983333334,-13.676641066666667,-13.648991716666666,-13.6159168,-13.697420966666666,-13.647763983333334,-13.616860466666667,-13.595304366666666,-13.683288683333334,-13.645885583333333,-13.620670383333334,-13.5960602,-13.690169833333332,-13.663879033333334,-13.63617835,-13.60875275,-13.685784116666667,-13.633215633333332,-13.607574916666666,-13.584186483333333,-13.668491833333333,-13.6407303
02-03 12:00,-13.756859283333334,-13.81815425,-13.7818311,-13.7450174,-13.725188000000001,-13.814955933333332,-13.776204883333332,-13.75693425,-13.73787045,-13.812519,-13.7883956,-13.761862516666667,-13.732748133333333,-13.80572495,-13.756464166666666,-13.731218516666667,-13.7127385,-13.78822295,-13.757223283333333,-13.733345183333334,-13.7116466,-13.797681416666668,-13.771737516666667,-13.749349833333333,-13.726066666666666,-13.790164666666668,-13.7436725,-13.720042549999999,-13.698631966666666,-13.775532833333333,-13.748415266666665
02-04 12:00,-13.8609911,-13.912375283333335,-13.880925916666666,-13.844650333333334,-13.829771683333332,-13.909175733333333,-13.871864799999999,-13.85874825,-13.8414843,-13.905046216666667,-13.886543683333334,-13.860987249999999,-13.836336266666667,-13.900221533333333,-13.851643316666667,-13.83228205,-13.816301216666666,-13.879879516666668,-13.855060566666667,-13.832216483333333,-13.813978633333333,-13.891453366666667,-13.8659964,-13.849262833333334,-13.8295524,-13.881165033333334,-13.840726266666667,-13.8186938,-13.799753366666666,-13.868972233333333,-13.842415016666667
02-05 12:00,-13.951306433333334,-13.993479016666667,-13.966282466666666,-13.930731866666667,-13.921145433333333,-13.989571549999999,-13.954211500000001,-13.947155166666667,-13.931268283333333,-13.984433233333334,-13.971079533333333,-13.94645635,-13.926747449999999,-13.98092795,-13.933419916666667,-13.920064466666668,-13.906014433333333,-13.95837455,-13.939387683333333,-13.917365966666667,-13.903141033333332,-13.971487183333332,-13.946768666666665,-13.935949866666666,-13.919219983333333,-13.958913916666667,-13.9243771,-13.903587566666666,-13.88765425,-13.948797533333334,-13.922835183333332
02-06 12:00,-14.027905066666667,-14.061528516666668,-14.037934816666667,-14.003375666666667,-13.999343416666667,-14.0562218,-14.023360700000001,-14.022171766666666,-14.00729905,-14.0507677,-14.042023166666667,-14.01837945,-14.0040459,-14.0478963,-14.001920816666665,-13.994587516666666,-13.981932833333333,-14.023819283333333,-14.010216649999998,-13.988898566666668,-13.979217733333334,-14.037819483333333,-14.014178766666667,-14.00944755,-13.995110283333334,-14.023540583333332,-13.994643383333333,-13.974808716666667,-13.96244055,-14.01502545,-13.989796283333334
02-07 12:00,-14.090916483333332,-14.116580050000001,-14.095947633333333,-14.062711083333333,-14.064396066666665,-14.109237133333332,-14.079429916666667,-14.083827750000001,-14.06968485,-14.104130733333333,-14.099420083333333,-14.076885616666667,-14.068290350000002,-14.101212866666666,-14.057279933333332,-14.055880416666668,-14.044145566666666,-14.076317683333334,-14.067581516666667,-14.046942483333334,-14.042287866666667,-14.090521483333333,-14.068362,-14.069795433333333,-14.057296816666668,-14.075170733333332,-14.051561566666667,-14.03246855,-14.02421595,-14.0677031,-14.043433
02-08 12:00,-14.140497383333333,-14.158685433333334,-14.140413833333334,-14.108883283333334,-14.116330466666666,-14.148757333333332,-14.122538216666667,-14.13216555,-14.118564249999999,-14.144598533333333,-14.143340316666666,-14.122123133333334,-14.119532783333334,-14.140996216666668,-14.099637316666668,-14.103979933333333,-14.092776366666667,-14.115966783333333,-14.111537766666666,-14.0916485,-14.092423183333333,-14.129697366666667,-14.109464066666668,-14.117035816666666,-14.105885983333334,-14.11392515,-14.095185583333334,-14.076704883333333,-14.073078433333334,-14.106908016666667,-14.083894033333333
02-09 12:00,-14.176828283333332,-14.187896166666667,-14.17145215,-14.142052150000001,-14.155173399999999,-14.1749475,-14.152806783333334,-14.167240266666665,-14.154103566666667,-14.172245616666666,-14.173877150000001,-14.15425875,-14.157818983333334,-14.167393716666668,-14.129138866666667,-14.138931066666666,-14.127981616666666,-14.142859116666667,-14.142161216666667,-14.123188800000001,-14.12968755,-14.155480966666666,-14.13764095,-14.151214416666667,-14.141016,-14.1399204,-14.12558575,-14.107680866666668,-14.109118833333333,-14.132746766666665,-14.111342283333332
02-10 12:00,-14.200109216666668,-14.20426845,-14.189204233333333,-14.162390566666666,-14.180956933333333,-14.187993533333334,-14.170360083333332,-14.189120966666668,-14.176493466666667,-14.18714915,-14.191145833333334,-14.173476033333333,-14.183192333333333,-14.180577483333334,-14.145935983333334,-14.1607886,-14.14994675,-14.157086316666666,-14.1595475,-14.141754833333332,-14.154138499999998,-14.1680322,-14.153058416666665,-14.172382883333334,-14.162854000000001,-14.153271166666666,-14.142847999999999,-14.12558325,-14.132421216666668,-14.14535265,-14.12595455
02-11 12:00,-14.210554333333333,-14.207868666666666,-14.193832166666665,-14.1700813,-14.193725616666667,-14.188098033333334,-14.1753265,-14.197892566666667,-14.1859449,-14.189393166666667,-14.195282200000001,-14.179972350000002,-14.1956995,-14.180739966666666,-14.150184966666666,-14.1696201,-14.15888185,-14.15874335,-14.163811716666666,-14.14755395,-14.165831766666667,-14.167532833333333,-14.155890833333332,-14.180602566666666,-14.171592733333334,-14.15409355,-14.1470739,-14.130619683333332,-14.143065783333332,-14.144882849999998,-14.127920666666666
